nctid	age	count
NCT00358501	>16 years old	76.0
NCT00358527	<=18 years	0.0
NCT00358527	>=65 years	10.0
NCT00358527	between 18 and 65 years	391.0
NCT00358579	<=18 years	1.0
NCT00358579	>=65 years	370.0
NCT00358579	between 18 and 65 years	356.0
NCT00358644	<=18 years	0.0
NCT00358644	>=65 years	48.0
NCT00358644	between 18 and 65 years	7.0
NCT00358826	<=18 years	0.0
NCT00358826	>=65 years	42.0
NCT00358826	between 18 and 65 years	149.0
NCT00359021	<=18 years	0.0
NCT00359021	>=65 years	6.0
NCT00359021	between 18 and 65 years	497.0
NCT00359203	<=18 years	0.0
NCT00359203	>=65 years	38.0
NCT00359203	between 18 and 65 years	39.0
NCT00359216	<=18 years	0.0
NCT00359216	>=65 years	0.0
NCT00359216	between 18 and 65 years	30.0
NCT00359736	<=18 years	0.0
NCT00359736	>=65 years	24.0
NCT00359736	between 18 and 65 years	5.0
NCT00359762	<=18 years	0.0
NCT00359762	>=65 years	200.0
NCT00359762	between 18 and 65 years	777.0
NCT00359801	18-44 years	247.0
NCT00359801	45-64 years	1128.0
NCT00359801	65-74 years	487.0
NCT00359801	75-84 years	109.0
NCT00359801	>= 85 years	5.0
NCT00359944	<=18 years	0.0
NCT00359944	>=65 years	132.0
NCT00359944	between 18 and 65 years	0.0
NCT00360009	<=18 years	0.0
NCT00360009	>=65 years	22.0
NCT00360009	between 18 and 65 years	40.0
NCT00360243	18-34 years	626.0
NCT00360243	35-44 years	635.0
NCT00360243	45 years and older	124.0
NCT00360269	<=18 years	0.0
NCT00360269	>=65 years	0.0
NCT00360269	between 18 and 65 years	38.0
NCT00360282	<=18 years	0.0
NCT00360282	>=65 years	0.0
NCT00360282	between 18 and 65 years	27.0
NCT00360399	<=18 years	0.0
NCT00360399	>=65 years	0.0
NCT00360399	between 18 and 65 years	344.0
NCT00360529	18 - 34 years	387.0
NCT00360529	35 - 44 years	379.0
NCT00360529	>= 45 years	114.0
NCT00360555	<=18 years	0.0
NCT00360555	>=65 years	0.0
NCT00360555	between 18 and 65 years	1581.0
NCT00360568	<65 years	32.0
NCT00360568	>=65 years	30.0
NCT00360685	<=18 years	0.0
NCT00360685	>=65 years	5.0
NCT00360685	between 18 and 65 years	84.0
NCT00360724	<=18 years	0.0
NCT00360724	>=65 years	1.0
NCT00360724	between 18 and 65 years	64.0
NCT00361140	<=18 years	0.0
NCT00361140	>=65 years	0.0
NCT00361140	between 18 and 65 years	72.0
NCT00361218	<=18 years	0.0
NCT00361218	>=65 years	1.0
NCT00361218	between 18 and 65 years	46.0
NCT00361231	<=18 years	0.0
NCT00361231	>=65 years	12.0
NCT00361231	between 18 and 65 years	23.0
NCT00361270	<=18 years	0.0
NCT00361270	>=65 years	25.0
NCT00361270	between 18 and 65 years	136.0
NCT00361283	<=18 years	0.0
NCT00361283	>=65 years	1.0
NCT00361283	between 18 and 65 years	107.0
NCT00361374	<=18 years	0.0
NCT00361374	>=65 years	20.0
NCT00361374	between 18 and 65 years	157.0
NCT00361504	<=18 years	0.0
NCT00361504	>=65 years	312.0
NCT00361504	between 18 and 65 years	805.0
NCT00361569	between 30 and 80 years	622.0
NCT00361595	<=18 years	0.0
NCT00361595	>=65 years	21.0
NCT00361595	between 18 and 65 years	14.0
NCT00362128	<=18 years	0.0
NCT00362128	>=65 years	390.0
NCT00362128	between 18 and 65 years	1682.0
NCT00362336	<=18 years	622.0
NCT00362336	>=65 years	0.0
NCT00362336	between 18 and 65 years	0.0
NCT00362401	<=18 years	0.0
NCT00362401	>=65 years	48.0
NCT00362401	between 18 and 65 years	36.0
NCT00362440	<=18 years	0.0
NCT00362440	>=65 years	0.0
NCT00362440	between 18 and 65 years	9.0
NCT00362648	<27 days	1.0
NCT00362648	27 to 41 days	1115.0
NCT00362648	42 to 84 days	6388.0
NCT00363129	<=50 years	74.0
NCT00363129	>50 years	115.0
NCT00363168	<=18 years	0.0
NCT00363168	>=65 years	6.0
NCT00363168	between 18 and 65 years	1.0
NCT00363246	<=18 years	0.0
NCT00363246	>=65 years	674.0
NCT00363246	between 18 and 65 years	92.0
NCT00363415	<=65 years	542.0
NCT00363415	>65 years	366.0
NCT00363649	<=18 years	0.0
NCT00363649	>=65 years	0.0
NCT00363649	between 18 and 65 years	34.0
NCT00363805	<=18 years	0.0
NCT00363805	>=65 years	93.0
NCT00363805	between 18 and 65 years	85.0
NCT00363896	<=18 years	0.0
NCT00363896	>=65 years	331.0
NCT00363896	between 18 and 65 years	512.0
NCT00364130	<=18 years	126.0
NCT00364130	>=65 years	0.0
NCT00364130	between 18 and 65 years	12.0
NCT00364156	<=18 years	0.0
NCT00364156	>=65 years	1.0
NCT00364156	between 18 and 65 years	567.0
NCT00364611	<=65 years	58.0
NCT00364611	>=75 years	4.0
NCT00364611	between 65 and 75 years	11.0
NCT00364819	<=18 years	0.0
NCT00364819	>=65 years	0.0
NCT00364819	between 18 and 65 years	6.0
NCT00364923	<=18 years	0.0
NCT00364923	>=65 years	40.0
NCT00364923	between 18 and 65 years	71.0
NCT00364949	<=18 years	0.0
NCT00364949	>=65 years	0.0
NCT00364949	between 18 and 65 years	70.0
NCT00365261	<=18 years	0.0
NCT00365261	>=65 years	2.0
NCT00365261	between 18 and 65 years	43.0
NCT00365417	18 to less than 50 years	19.0
NCT00365417	between 50 and 59 years	13.0
NCT00365417	greater than 59 years	13.0
NCT00365547	<=18 years	0.0
NCT00365547	>=65 years	20.0
NCT00365547	between 18 and 65 years	26.0
NCT00365599	<=18 years	0.0
NCT00365599	>=65 years	6.0
NCT00365599	between 18 and 65 years	37.0
NCT00365846	<=18 years	0.0
NCT00365846	>=65 years	0.0
NCT00365846	between 18 and 65 years	29.0
NCT00365859	13 to 17 years	67.0
NCT00365859	6 to 12 years	263.0
NCT00365872	<=18 years	0.0
NCT00365872	>=65 years	6.0
NCT00365872	between 18 and 65 years	11.0
NCT00365976	<=18 years	0.0
NCT00365976	>=65 years	0.0
NCT00365976	between 18 and 65 years	58.0
NCT00366028	<=18 years	
NCT00366028	>=65 years	
NCT00366028	between 18 and 65 years	
NCT00366275	<=18 years	0.0
NCT00366275	>=65 years	0.0
NCT00366275	between 18 and 65 years	64.0
NCT00366457	<=18 years	0.0
NCT00366457	>=65 years	13.0
NCT00366457	between 18 and 65 years	17.0
NCT00366535	<=18 years	0.0
NCT00366535	>=65 years	2.0
NCT00366535	between 18 and 65 years	54.0
NCT00366626	<=18 years	0.0
NCT00366626	>=65 years	0.0
NCT00366626	between 18 and 65 years	83.0
NCT00367016	<=18 years	0.0
NCT00367016	>=65 years	1.0
NCT00367016	between 18 and 65 years	5.0
NCT00367341	<=18 years	0.0
NCT00367341	>=65 years	0.0
NCT00367341	between 18 and 65 years	82.0
NCT00367380	<=18 years	0.0
NCT00367380	>=65 years	0.0
NCT00367380	between 18 and 65 years	18.0
NCT00367432	between 16 and 65 years	398.0
NCT00367458	<=18 years	0.0
NCT00367458	>=65 years	0.0
NCT00367458	between 18 and 65 years	24.0
NCT00367484	<=18 years	0.0
NCT00367484	>=65 years	0.0
NCT00367484	between 18 and 65 years	458.0
NCT00367744	<=18 years	0.0
NCT00367744	>=65 years	0.0
NCT00367744	between 18 and 65 years	71.0
NCT00367835	<=18 years	217.0
NCT00367835	>=65 years	0.0
NCT00367835	between 18 and 65 years	0.0
NCT00367991	<=18 years	0.0
NCT00367991	>=65 years	9.0
NCT00367991	between 18 and 65 years	35.0
NCT00368108	<65 years	440.0
NCT00368108	≥ 65 years	311.0
NCT00368251	<=18 years	4.0
NCT00368251	>=65 years	0.0
NCT00368251	between 18 and 65 years	108.0
NCT00368277	65 - 74 years	608.0
NCT00368277	75 years and older	293.0
NCT00368290	<=18 years	0.0
NCT00368290	>=65 years	0.0
NCT00368290	between 18 and 65 years	94.0
NCT00368316	<=18 years	2799.0
NCT00368316	>=65 years	0.0
NCT00368316	between 18 and 65 years	0.0
NCT00368550	<=18 years	0.0
NCT00368550	>=65 years	1.0
NCT00368550	between 18 and 65 years	133.0
NCT00368849	<=18 years	0.0
NCT00368849	>=65 years	0.0
NCT00368849	between 18 and 65 years	20.0
NCT00368940	<=18 years	0.0
NCT00368940	>=65 years	74.0
NCT00368940	between 18 and 65 years	0.0
NCT00369226	<=18 years	0.0
NCT00369226	>=65 years	7.0
NCT00369226	between 18 and 65 years	38.0
NCT00369317	<=18 years	205.0
NCT00369317	>=65 years	0.0
NCT00369317	between 18 and 65 years	0.0
NCT00369512	<=18 years	0.0
NCT00369512	>=65 years	10.0
NCT00369512	between 18 and 65 years	5.0
NCT00369564	<=18 years	240.0
NCT00369564	>=65 years	0.0
NCT00369564	between 18 and 65 years	10.0
NCT00369577	<=18 years	0.0
NCT00369577	>=65 years	0.0
NCT00369577	between 18 and 65 years	129.0
NCT00369668	<=18 years	0.0
NCT00369668	>=65 years	18.0
NCT00369668	between 18 and 65 years	12.0
NCT00369707	<=18 years	0.0
NCT00369707	>=65 years	15.0
NCT00369707	between 18 and 65 years	27.0
NCT00369746	<=18 years	0.0
NCT00369746	>=65 years	0.0
NCT00369746	between 18 and 65 years	674.0
NCT00369785	<=18 years	0.0
NCT00369785	>=65 years	43.0
NCT00369785	between 18 and 65 years	155.0
NCT00369928	<=18 years	0.0
NCT00369928	>=65 years	24.0
NCT00369928	between 18 and 65 years	232.0
NCT00370552	>=65 years	39.0
NCT00370552	younger than 65 years	84.0
NCT00370838	<=18 years	8.0
NCT00370838	>=65 years	0.0
NCT00370838	between 18 and 65 years	2.0
NCT00370994	<=18 years	0.0
NCT00370994	>=65 years	28.0
NCT00370994	between 18 and 65 years	92.0
NCT00371137	18 - 39 years	137.0
NCT00371137	40 - 49 years	174.0
NCT00371137	50 - 64 years	211.0
NCT00371137	>=65 years	26.0
NCT00371176	<=18 years	0.0
NCT00371176	>=65 years	0.0
NCT00371176	between 18 and 65 years	26.0
NCT00371254	<50 years	13.0
NCT00371254	>=50 years	31.0
NCT00371345	<=50 years	24.0
NCT00371345	>=50 years	46.0
NCT00371397	<=18 years	0.0
NCT00371397	>=65 years	0.0
NCT00371397	between 18 and 65 years	52.0
NCT00371540	<=18 years	0.0
NCT00371540	>=65 years	0.0
NCT00371540	between 18 and 65 years	208.0
NCT00371644	<=18 years	0.0
NCT00371644	>=65 years	1.0
NCT00371644	between 18 and 65 years	85.0
NCT00371683	>=75 years	604.0
NCT00371683	greater than, equal to (>=) 65 and < 75 years	1203.0
NCT00371683	less than(<) 65 years	1388.0
NCT00371787	<=18 years	0.0
NCT00371787	>=65 years	0.0
NCT00371787	between 18 and 65 years	38.0
NCT00372385	<=18 years	1.0
NCT00372385	>=65 years	2.0
NCT00372385	between 18 and 65 years	320.0
NCT00372593	<=18 years	1033.0
NCT00372593	>=65 years	0.0
NCT00372593	between 18 and 65 years	37.0
NCT00372619	<=18 years	62.0
NCT00372619	>=65 years	0.0
NCT00372619	between 18 and 65 years	12.0
NCT00372775	>= 65 years	20.0
NCT00372775	between 18 and 44 years	4.0
NCT00372775	between 45 and 64 years	40.0
NCT00372957	20 to 64 years	30.0
NCT00372970	<=18 years	0.0
NCT00372970	>=65 years	0.0
NCT00372970	between 18 and 65 years	32.0
NCT00373256	18 to 44 years	78.0
NCT00373256	45 to 64 years	281.0
NCT00373256	more than 65 years	129.0
NCT00373269	<=18 years	0.0
NCT00373269	>=65 years	8.0
NCT00373269	between 18 and 65 years	13.0
NCT00373295	<=18 years	0.0
NCT00373295	>=65 years	0.0
NCT00373295	between 18 and 65 years	10.0
NCT00373334	<=18 years	138.0
NCT00373334	>=65 years	0.0
NCT00373334	between 18 and 65 years	0.0
NCT00373360	<=18 years	0.0
NCT00373360	>=65 years	2.0
NCT00373360	between 18 and 65 years	8.0
NCT00373399	<=18 years	0.0
NCT00373399	>=65 years	0.0
NCT00373399	between 18 and 65 years	36.0
NCT00373685	55-59 years	2700.0
NCT00373685	<55 years	7.0
NCT00373685	60-64 years	2276.0
NCT00373685	65-69 years	1670.0
NCT00373685	70-74 years	1021.0
NCT00373685	>=75 years	381.0
NCT00373685	unspecified	12.0
NCT00373880	<=18 years	0.0
NCT00373880	>=65 years	0.0
NCT00373880	between 18 and 65 years	8.0
NCT00374127	<=18 years	0.0
NCT00374127	>=65 years	0.0
NCT00374127	between 18 and 65 years	24.0
NCT00374231	<=18 years	0.0
NCT00374231	>=65 years	0.0
NCT00374231	between 18 and 65 years	40.0
NCT00374335	<=18 years	261.0
NCT00374335	>=65 years	0.0
NCT00374335	between 18 and 65 years	0.0
NCT00374452	age >= 18 years	76.0
NCT00374803	<=18 years	0.0
NCT00374803	>=65 years	0.0
NCT00374803	between 18 and 65 years	45.0
NCT00375492	<=18 years	0.0
NCT00375492	>=65 years	34.0
NCT00375492	between 18 and 65 years	160.0
NCT00375518	<=18 years	0.0
NCT00375518	>=65 years	79.0
NCT00375518	between 18 and 65 years	83.0
NCT00375674	<=18 years	0.0
NCT00375674	>=65 years	158.0
NCT00375674	between 18 and 65 years	457.0
NCT00375830	<=18 years	0.0
NCT00375830	>=65 years	51.0
NCT00375830	between 18 and 65 years	63.0
NCT00375973	<=18 years	0.0
NCT00375973	>=65 years	0.0
NCT00375973	between 18 and 65 years	60.0
NCT00376168	<=18 years	0.0
NCT00376168	>=65 years	1.0
NCT00376168	between 18 and 65 years	31.0
NCT00376220	<=18 years	0.0
NCT00376220	>=65 years	0.0
NCT00376220	between 18 and 65 years	94.0
NCT00376506	<=18 years	0.0
NCT00376506	>=65 years	7.0
NCT00376506	between 18 and 65 years	3.0
NCT00376532	<=18 years	0.0
NCT00376532	>=65 years	30.0
NCT00376532	between 18 and 65 years	21.0
NCT00376558	<=18 years	0.0
NCT00376558	>=65 years	0.0
NCT00376558	between 18 and 65 years	50.0
NCT00376675	<50 years	28.0
NCT00376675	>=50 years	111.0
NCT00376935	between 18 and 29 years	1.0
NCT00376935	between 30 and 39 years	13.0
NCT00376935	between 40 and 49 years	42.0
NCT00376935	between 50 and 59 years	27.0
NCT00376935	over 60 years	16.0
NCT00377156	18 to 59	97.0
NCT00377156	>= 60	116.0
NCT00377260	12-17 months	77.0
NCT00377260	18-23 months	53.0
NCT00377260	6-11 months	161.0
NCT00377312	<=18 years	0.0
NCT00377312	>=65 years	0.0
NCT00377312	between 18 and 65 years	11.0
NCT00377429	<=18 years	0.0
NCT00377429	>=65 years	7.0
NCT00377429	between 18 and 65 years	40.0
NCT00377520	40-49 years	3.0
NCT00377520	50-59 years	6.0
NCT00377520	60-69 years	10.0
NCT00377520	>69 years	7.0
NCT00377676	<=18 years	0.0
NCT00377676	>=65 years	916.0
NCT00377676	between 18 and 65 years	2154.0
NCT00378079	<=18 years	0.0
NCT00378079	>=65 years	0.0
NCT00378079	between 18 and 65 years	211.0
NCT00378352	greater than or equal to 70 years	38.0
NCT00378352	less than 70 years	184.0
NCT00378378	12 to < 18 years	81.0
NCT00378378	6 to < 12 years	46.0
NCT00378508	<15 years	38.0
NCT00378508	>=15 years	20.0
NCT00378534	<=18 years	8.0
NCT00378534	>=65 years	5.0
NCT00378534	between 18 and 65 years	103.0
NCT00378703	<=18 years	0.0
NCT00378703	>=65 years	118.0
NCT00378703	between 18 and 65 years	213.0
NCT00379145	40-49 years	3.0
NCT00379145	<40 years	1.0
NCT00379145	50-59 years	5.0
NCT00379145	60-69 years	7.0
NCT00379145	70-79 years	3.0
NCT00379145	>79 years	1.0
NCT00379210	<=18 years	0.0
NCT00379210	>=65 years	0.0
NCT00379210	between 18 and 65 years	60.0
NCT00379353	<=18 years	0.0
NCT00379353	>=65 years	8.0
NCT00379353	between 18 and 65 years	23.0
NCT00379574	<=18 years	0.0
NCT00379574	>=65 years	7.0
NCT00379574	between 18 and 65 years	42.0
NCT00379587	<=18 years	0.0
NCT00379587	>=65 years	11.0
NCT00379587	between 18 and 65 years	54.0
NCT00379795	50 to < 65	51.0
NCT00379795	65 to < 75	194.0
NCT00379795	75 to < 85	444.0
NCT00379795	>= 85	164.0
NCT00379808	<=18 years	0.0
NCT00379808	>=65 years	0.0
NCT00379808	between 18 and 65 years	22.0
NCT00379821	<=18 years	640.0
NCT00379821	>=65 years	0.0
NCT00379821	between 18 and 65 years	0.0
NCT00379834	<=18 years	0.0
NCT00379834	>=65 years	6.0
NCT00379834	between 18 and 65 years	4.0
NCT00380081	<=18 years	0.0
NCT00380081	>=65 years	0.0
NCT00380081	between 18 and 65 years	82.0
NCT00380978	<=18 years	0.0
NCT00380978	>=65 years	0.0
NCT00380978	between 18 and 65 years	818.0
NCT00381485	<=18 years	63.0
NCT00381485	>=65 years	87.0
NCT00381485	between 18 and 65 years	578.0
NCT00381550	<=18 years	0.0
NCT00381550	>=65 years	18.0
NCT00381550	between 18 and 65 years	17.0
NCT00381563	<=18 years	0.0
NCT00381563	>=65 years	27.0
NCT00381563	between 18 and 65 years	53.0
NCT00381628	<=18 years	4.0
NCT00381628	>=65 years	1.0
NCT00381628	between 18 and 65 years	54.0
NCT00381797	<=18 years	91.0
NCT00381797	>=65 years	0.0
NCT00381797	between 18 and 65 years	6.0
NCT00381849	<=18 years	0.0
NCT00381849	>=65 years	3.0
NCT00381849	between 18 and 65 years	17.0
NCT00381862	<=18 years	0.0
NCT00381862	>=65 years	12.0
NCT00381862	between 18 and 65 years	42.0
NCT00381888	<=18 years	0.0
NCT00381888	>=65 years	8.0
NCT00381888	between 18 and 65 years	36.0
NCT00381940	<=18 years	23.0
NCT00381940	>=65 years	0.0
NCT00381940	between 18 and 65 years	3.0
NCT00381966	<=18 years	0.0
NCT00381966	>=65 years	2.0
NCT00381966	between 18 and 65 years	3.0
NCT00382018	age 55 years or older	334.0
NCT00382031	<=18 years	0.0
NCT00382031	>=65 years	48.0
NCT00382031	between 18 and 65 years	238.0
NCT00382148	>= 12	9.0
NCT00382148	6 to < 12	2.0
NCT00382174	<=18 years	0.0
NCT00382174	>=65 years	17.0
NCT00382174	between 18 and 65 years	55.0
NCT00382291	<=18 years	56.0
NCT00382291	>=65 years	0.0
NCT00382291	between 18 and 65 years	0.0
NCT00382785	<=18 years	0.0
NCT00382785	>=65 years	3.0
NCT00382785	between 18 and 65 years	48.0
NCT00382928	<=18 years	0.0
NCT00382928	>=65 years	0.0
NCT00382928	between 18 and 65 years	192.0
NCT00382967	<=18 years	0.0
NCT00382967	>=65 years	157.0
NCT00382967	between 18 and 65 years	101.0
NCT00383019	<=18 years	0.0
NCT00383019	>=65 years	134.0
NCT00383019	between 18 and 65 years	155.0
NCT00383084	<=18 years	0.0
NCT00383084	>=65 years	0.0
NCT00383084	between 18 and 65 years	84.0
NCT00383149	age greater than, equal to 65 years	22.0
NCT00383149	age less than 65 years	32.0
NCT00383188	<=18 years	0.0
NCT00383188	>=65 years	43.0
NCT00383188	between 18 and 65 years	259.0
NCT00383240	<=18 years	63.0
NCT00383240	>=65 years	41.0
NCT00383240	between 18 and 65 years	677.0
NCT00383448	<=18 years	32.0
NCT00383448	>=65 years	0.0
NCT00383448	between 18 and 65 years	6.0
NCT00383500	<=18 years	0.0
NCT00383500	>=65 years	10.0
NCT00383500	between 18 and 65 years	65.0
NCT00383760	<=18 years	0.0
NCT00383760	>=65 years	5.0
NCT00383760	between 18 and 65 years	10.0
NCT00383786	<=18 years	0.0
NCT00383786	>=65 years	0.0
NCT00383786	between 18 and 65 years	47.0
NCT00384241	<=18 years	500.0
NCT00384241	>=65 years	0.0
NCT00384241	between 18 and 65 years	599.0
NCT00384332	<=18 years	0.0
NCT00384332	>=65 years	0.0
NCT00384332	between 18 and 65 years	23.0
NCT00384397	<=18 years	1118.0
NCT00384397	>=65 years	0.0
NCT00384397	between 18 and 65 years	0.0
NCT00384449	<=18 years	0.0
NCT00384449	>=65 years	1.0
NCT00384449	between 18 and 65 years	0.0
NCT00384670	<=18 years	7.0
NCT00384670	>=65 years	0.0
NCT00384670	between 18 and 65 years	0.0
NCT00384748	<=18 years	0.0
NCT00384748	>=65 years	29.0
NCT00384748	between 18 and 65 years	19.0
NCT00385216	<=18 years	0.0
NCT00385216	>=65 years	0.0
NCT00385216	between 18 and 65 years	20.0
NCT00385268	<=18 years	0.0
NCT00385268	>=65 years	0.0
NCT00385268	between 18 and 65 years	60.0
NCT00385515	<=18 years	0.0
NCT00385515	>=65 years	15.0
NCT00385515	between 18 and 65 years	66.0
NCT00385541	<=18 years	0.0
NCT00385541	>=65 years	0.0
NCT00385541	between 18 and 65 years	50.0
NCT00385580	< 65 years	25.0
NCT00385580	>=65 years	70.0
NCT00385684	<=18 years	0.0
NCT00385684	>=65 years	11.0
NCT00385684	between 18 and 65 years	0.0
NCT00385736	<=18 years	4.0
NCT00385736	>=65 years	17.0
NCT00385736	between 18 and 65 years	369.0
NCT00385762	<=18 years	0.0
NCT00385762	>=65 years	0.0
NCT00385762	between 18 and 65 years	35.0
NCT00386243	<=18 years	0.0
NCT00386243	>=65 years	1.0
NCT00386243	between 18 and 65 years	241.0
NCT00386256	<=18 years	0.0
NCT00386256	>=65 years	36.0
NCT00386256	between 18 and 65 years	2.0
NCT00386334	<=18 years	0.0
NCT00386334	>=65 years	388.0
NCT00386334	between 18 and 65 years	0.0
NCT00386776	<=18 years	0.0
NCT00386776	>=65 years	4.0
NCT00386776	between 18 and 65 years	36.0
NCT00386880	<=18 years	0.0
NCT00386880	>=65 years	0.0
NCT00386880	between 18 and 65 years	38.0
NCT00387465	<=18 years	0.0
NCT00387465	>=65 years	20.0
NCT00387465	between 18 and 65 years	25.0
NCT00387647	<=18 years	0.0
NCT00387647	>=65 years	18.0
NCT00387647	between 18 and 65 years	6.0
NCT00387712	<=18 years	0.0
NCT00387712	>=65 years	82.0
NCT00387712	between 18 and 65 years	17.0
NCT00387751	<=18 years	0.0
NCT00387751	>=65 years	6.0
NCT00387751	between 18 and 65 years	8.0
NCT00387959	<=18 years	0.0
NCT00387959	>=65 years	1.0
NCT00387959	between 18 and 65 years	16.0
NCT00388154	<=18 years	0.0
NCT00388154	>=65 years	2.0
NCT00388154	between 18 and 65 years	19.0
NCT00388349	<=18 years	0.0
NCT00388349	>=65 years	1.0
NCT00388349	between 18 and 65 years	145.0
NCT00388362	<=18 years	0.0
NCT00388362	>=65 years	3.0
NCT00388362	between 18 and 65 years	33.0
NCT00388414	<=18 years	0.0
NCT00388414	>=65 years	0.0
NCT00388414	between 18 and 65 years	14.0
NCT00388453	<=18 years	0.0
NCT00388453	>=65 years	1.0
NCT00388453	between 18 and 65 years	46.0
NCT00388505	≥13 to <20 years	114.0
NCT00388505	≥20 years	357.0
NCT00388505	≥6 to <13 years	46.0
NCT00388583	<=18 years	0.0
NCT00388583	>=65 years	807.0
NCT00388583	between 18 and 65 years	0.0
NCT00388973	66 to 75 years	272.0
NCT00388973	>75 years	66.0
NCT00389064	66 to 75 years	392.0
NCT00389064	> 75 years	58.0
NCT00389168	<=18 years	0.0
NCT00389168	>=65 years	14.0
NCT00389168	between 18 and 65 years	100.0
NCT00389324	<=18 years	3.0
NCT00389324	>=65 years	4.0
NCT00389324	between 18 and 65 years	28.0
NCT00389467	<=18 years	0.0
NCT00389467	>=65 years	67.0
NCT00389467	between 18 and 65 years	51.0
NCT00389493	<=18 years	0.0
NCT00389493	>=65 years	0.0
NCT00389493	between 18 and 65 years	100.0
NCT00389532	<=18 years	0.0
NCT00389532	>=65 years	47.0
NCT00389532	between 18 and 65 years	69.0
NCT00389597	<=18 years	0.0
NCT00389597	>=65 years	11.0
NCT00389597	between 18 and 65 years	564.0
NCT00389649	<=18 years	0.0
NCT00389649	>=65 years	8.0
NCT00389649	between 18 and 65 years	5.0
NCT00389818	<=18 years	0.0
NCT00389818	>=65 years	1.0
NCT00389818	between 18 and 65 years	39.0
NCT00389831	<=18 years	0.0
NCT00389831	>=65 years	2.0
NCT00389831	between 18 and 65 years	42.0
NCT00389857	<=18 years	31.0
NCT00389857	>=65 years	0.0
NCT00389857	between 18 and 65 years	0.0
NCT00390182	<=18 years	0.0
NCT00390182	>=65 years	10.0
NCT00390182	between 18 and 65 years	28.0
NCT00390221	18 to 19 years	10.0
NCT00390221	20 to 29 years	154.0
NCT00390221	30 to 39 years	242.0
NCT00390221	40 to 49 years	176.0
NCT00390221	50 to 55 years	39.0
NCT00390234	<=18 years	0.0
NCT00390234	>=65 years	16.0
NCT00390234	between 18 and 65 years	47.0
NCT00390299	40-60 yearsage group	15.0
NCT00390299	<40 yearsage group	2.0
NCT00390299	>60 yearsage group	6.0
NCT00390416	<=18 years	0.0
NCT00390416	>=65 years	8.0
NCT00390416	between 18 and 65 years	40.0
NCT00390455	<40	15.0
NCT00390455	40-49	38.0
NCT00390455	50-59	103.0
NCT00390455	60-69	88.0
NCT00390455	70+	47.0
NCT00390559	<=18 years	0.0
NCT00390559	>=65 years	0.0
NCT00390559	between 18 and 65 years	124.0
NCT00390884	<=18 years	173.0
NCT00390884	>=65 years	0.0
NCT00390884	between 18 and 65 years	0.0
NCT00390949	20-24age group in years	2131.0
NCT00390949	25-34age group in years	2701.0
NCT00390949	35-44age group in years	1992.0
NCT00390949	45 and aboveage group in years	365.0
NCT00390949	under 20age group in years	2265.0
NCT00391027	18 - 44 years	11.0
NCT00391027	45 - 64 years	149.0
NCT00391027	> = 65 years	97.0
NCT00391053	<=18 years	0.0
NCT00391053	>=65 years	3833.0
NCT00391053	between 18 and 65 years	0.0
NCT00391170	<=18 years	3.0
NCT00391170	>=65 years	2.0
NCT00391170	between 18 and 65 years	49.0
NCT00391391	<=18 years	517.0
NCT00391391	>=65 years	0.0
NCT00391391	between 18 and 65 years	0.0
NCT00391443	> 70 years	132.0
NCT00391443	between 18 and 40 years	9.0
NCT00391443	between 41 and 60 years	193.0
NCT00391443	between 61 and 70 years	282.0
NCT00391625	<=18 years	0.0
NCT00391625	>=65 years	0.0
NCT00391625	between 18 and 65 years	10.0
NCT00391768		87.0
NCT00391807	18-35 years	1295.0
NCT00391807	>35 years	287.0
NCT00391976	≥ 18 years	13.0
NCT00391976	6 months - < 6 years	48.0
NCT00391976	6 years - < 18 years	62.0
NCT00392015	18-20 years	3.0
NCT00392015	21-30 years	23.0
NCT00392015	31-40 years	16.0
NCT00392015	41-50 years	17.0
NCT00392054	<=18 years	0.0
NCT00392054	>=65 years	28.0
NCT00392054	between 18 and 65 years	99.0
NCT00392197	<=18 years	6.0
NCT00392197	>=65 years	5.0
NCT00392197	between 18 and 65 years	90.0
NCT00392210	<=18 years	0.0
NCT00392210	>=65 years	33.0
NCT00392210	between 18 and 65 years	46.0
NCT00392288	aged 4 to <6 years	82.0
NCT00392288	aged 6 to <12 years	419.0
NCT00392678	<=18 years	0.0
NCT00392678	>=65 years	17.0
NCT00392678	between 18 and 65 years	91.0
NCT00392808	<=18 years	389.0
NCT00392808	>=65 years	0.0
NCT00392808	between 18 and 65 years	0.0
NCT00392834	<=18 years	0.0
NCT00392834	>=65 years	0.0
NCT00392834	between 18 and 65 years	34.0
NCT00392860	<=18 years	0.0
NCT00392860	>=65 years	0.0
NCT00392860	between 18 and 65 years	4.0
NCT00392951	<=18 years	12.0
NCT00392951	>=65 years	0.0
NCT00392951	between 18 and 65 years	18.0
NCT00392990	<=18 years	0.0
NCT00392990	>=65 years	4.0
NCT00392990	between 18 and 65 years	21.0
NCT00393029	<=18 years	0.0
NCT00393029	>=65 years	0.0
NCT00393029	between 18 and 65 years	12.0
NCT00393042	<=18 years	64.0
NCT00393042	>=65 years	0.0
NCT00393042	between 18 and 65 years	0.0
NCT00393367	<=18 years	179.0
NCT00393367	>=65 years	0.0
NCT00393367	between 18 and 65 years	0.0
NCT00393718	20-29 years	4.0
NCT00393718	30-39 years	17.0
NCT00393718	40-49 years	63.0
NCT00393718	50-59 years	123.0
NCT00393718	60-69 years	138.0
NCT00393718	70- years	55.0
