nctid	age	count
NCT00006178	>=65 years	0.0
NCT00006178	between 18 and 65 years	12.0
NCT00006184	<=18 years	0.0
NCT00006184	>=65 years	0.0
NCT00006184	between 18 and 65 years	20.0
NCT00006227	< 40	7.0
NCT00006227	40-49	8.0
NCT00006227	50-59	9.0
NCT00006227	>= 60	7.0
NCT00006244	<=18 years	0.0
NCT00006244	>=65 years	4.0
NCT00006244	between 18 and 65 years	32.0
NCT00006305	<=18 years	0.0
NCT00006305	>=65 years	929.0
NCT00006305	between 18 and 65 years	1439.0
NCT00006389	<=18 years	0.0
NCT00006389	>=65 years	1.0
NCT00006389	between 18 and 65 years	11.0
NCT00006400	<=18 years	193.0
NCT00006400	>=65 years	0.0
NCT00006400	between 18 and 65 years	0.0
NCT00006409	<=18 years	8727.0
NCT00006409	>=65 years	0.0
NCT00006409	between 18 and 65 years	0.0
NCT00007345	<=18 years	0.0
NCT00007345	>=65 years	43.0
NCT00007345	between 18 and 65 years	88.0
NCT00007644	<=18 years	0.0
NCT00007644	>=65 years	478.0
NCT00007644	between 18 and 65 years	253.0
NCT00010439	<=18 years	10.0
NCT00010439	>=65 years	0.0
NCT00010439	between 18 and 65 years	0.0
NCT00010803	<=18 years	0.0
NCT00010803	>=65 years	3069.0
NCT00010803	between 18 and 65 years	0.0
NCT00013611	<=18 years	0.0
NCT00013611	>=65 years	16.0
NCT00013611	between 18 and 65 years	1679.0
NCT00014495	<=18 years	0.0
NCT00014495	>=65 years	18.0
NCT00014495	between 18 and 65 years	14.0
NCT00015457	<=18 years	0.0
NCT00015457	>=65 years	1.0
NCT00015457	between 18 and 65 years	15.0
NCT00016354	<=18 years	0.0
NCT00016354	>=65 years	8.0
NCT00016354	between 18 and 65 years	11.0
NCT00017563	<=18 years	0.0
NCT00017563	>=65 years	18.0
NCT00017563	between 18 and 65 years	39.0
NCT00018031	<=18 years	0.0
NCT00018031	>=65 years	2.0
NCT00018031	between 18 and 65 years	34.0
NCT00021541	<=18 years	59.0
NCT00021541	>=65 years	0.0
NCT00021541	between 18 and 65 years	3.0
NCT00022659	10-19 years	1.0
NCT00022659	20-29 years	1.0
NCT00022659	30-39 years	3.0
NCT00022659	40-49 years	13.0
NCT00022659	50-59 years	21.0
NCT00022659	60-69 years	13.0
NCT00022659	70-79 years	10.0
NCT00023712	20-29 years	1.0
NCT00023712	30-39 years	2.0
NCT00023712	40-49 years	10.0
NCT00023712	50-59 years	18.0
NCT00023712	60-69 years	17.0
NCT00023712	70-79 years	6.0
NCT00023712	80-89 years	1.0
NCT00023764	<=18 years	0.0
NCT00023764	>=65 years	56.0
NCT00023764	between 18 and 65 years	47.0
NCT00024102	65-69 years	222.0
NCT00024102	70-79 years	383.0
NCT00024102	>=80 years	28.0
NCT00024258	<=18 years	19.0
NCT00024258	>=65 years	0.0
NCT00024258	between 18 and 65 years	3.0
NCT00025155	20-29 years	1.0
NCT00025155	30-39 years	0.0
NCT00025155	40-49 years	6.0
NCT00025155	50-59 years	13.0
NCT00025155	60-69 years	15.0
NCT00025155	70-79 years	13.0
NCT00025155	80-89 years	1.0
NCT00025233	20-29 years	1.0
NCT00025233	30-39 years	11.0
NCT00025233	40-49 years	17.0
NCT00025233	50-59 years	12.0
NCT00025233	60-69 years	5.0
NCT00025259	<=18 years	1649.0
NCT00025259	>=65 years	0.0
NCT00025259	between 18 and 65 years	85.0
NCT00025506	30-39 years	1.0
NCT00025506	40-49 years	1.0
NCT00025506	50-59 years	7.0
NCT00025506	60-69 years	23.0
NCT00025506	70-79 years	11.0
NCT00025506	80-89 years	2.0
NCT00025662	<=18 years	0.0
NCT00025662	>=65 years	9.0
NCT00025662	between 18 and 65 years	13.0
NCT00026208	<=18 years	0.0
NCT00026208	>=65 years	2.0
NCT00026208	between 18 and 65 years	74.0
NCT00026494	<=18 years	0.0
NCT00026494	>=65 years	15.0
NCT00026494	between 18 and 65 years	34.0
NCT00026793	<=18 years	0.0
NCT00026793	>=65 years	2.0
NCT00026793	between 18 and 65 years	27.0
NCT00027378	<=18 years	3.0
NCT00027378	>=65 years	0.0
NCT00027378	between 18 and 65 years	47.0
NCT00027560	<=18 years	3.0
NCT00027560	>=65 years	2.0
NCT00027560	between 18 and 65 years	46.0
NCT00027846	<=18 years	370.0
NCT00027846	>=65 years	0.0
NCT00027846	between 18 and 65 years	8.0
NCT00028262	<=18 years	10.0
NCT00028262	>=65 years	0.0
NCT00028262	between 18 and 65 years	0.0
NCT00029107	<=18 years	0.0
NCT00029107	>=65 years	0.0
NCT00029107	between 18 and 65 years	24.0
NCT00030147	<=18 years	0.0
NCT00030147	>=65 years	0.0
NCT00030147	between 18 and 65 years	63.0
NCT00030264	<=18 years	19.0
NCT00030264	>=65 years	0.0
NCT00030264	between 18 and 65 years	4.0
NCT00030823	<=18 years	0.0
NCT00030823	>=65 years	0.0
NCT00030823	between 18 and 65 years	14.0
NCT00030992	<=18 years	0.0
NCT00030992	>=65 years	23.0
NCT00030992	between 18 and 65 years	79.0
NCT00031447	< = 28 days	29.0
NCT00031447	>=65 years	0.0
NCT00031447	between 29 days and 65 years	0.0
NCT00031460	<=28 days	46.0
NCT00031460	>=65 years	0.0
NCT00031460	between 18 and 65 years	0.0
NCT00031486	12-18 years	2.0
NCT00031486	19-40 years	12.0
NCT00031486	41-60 years	40.0
NCT00031486	61 years or older	33.0
NCT00032487	<=18 years	0.0
NCT00032487	>=65 years	573.0
NCT00032487	between 18 and 65 years	1218.0
NCT00032630	<=18 years	0.0
NCT00032630	>=65 years	833.0
NCT00032630	between 18 and 65 years	1370.0
NCT00033514	<=18 years	0.0
NCT00033514	>=65 years	4.0
NCT00033514	between 18 and 65 years	23.0
NCT00035555	between 18 and 45 years	115.0
NCT00035555	between 46 and 60 years	90.0
NCT00035555	older than 60 years	13.0
NCT00035815	<=18 years	0.0
NCT00035815	>=65 years	66.0
NCT00035815	between 18 and 65 years	264.0
NCT00036270	50 to 59 years	3017.0
NCT00036270	60 to 69 years	3731.0
NCT00036270	greater than and equal to 70 years	2687.0
NCT00036270	less than 50 years	331.0
NCT00036569	<=18 years	32.0
NCT00036569	>=65 years	0.0
NCT00036569	between 18 and 65 years	0.0
NCT00036738	<=18 years	0.0
NCT00036738	>=65 years	2.0
NCT00036738	between 18 and 65 years	26.0
NCT00037830	<=18 years	0.0
NCT00037830	>=65 years	29.0
NCT00037830	between 18 and 65 years	65.0
NCT00038103	50-64 years	47.0
NCT00038103	< 50 years	36.0
NCT00038103	65-79 years	27.0
NCT00038103	=> 80 years	1.0
NCT00039195	<=18 years	0.0
NCT00039195	>=65 years	1.0
NCT00039195	between 18 and 65 years	97.0
NCT00039741	>12 months to <=3 years	28.0
NCT00039741	>14 years to <18 years	46.0
NCT00039741	>30 days to <=12 months	40.0
NCT00039741	>3 to <=9 years	99.0
NCT00039741	>9 to <=14 years	50.0
NCT00039871	<=18 years	0.0
NCT00039871	>=65 years	45.0
NCT00039871	between 18 and 65 years	2267.0
NCT00040365	<=18 years	0.0
NCT00040365	>=65 years	12.0
NCT00040365	between 18 and 65 years	18.0
NCT00040846	<=18 years	1.0
NCT00040846	>=65 years	7.0
NCT00040846	between 18 and 65 years	52.0
NCT00041067	30-39	11.0
NCT00041067	40-49	26.0
NCT00041067	50-59	19.0
NCT00041067	60-69	15.0
NCT00041067	70-79	3.0
NCT00041080	50-59 years	31.0
NCT00041080	< 50 years	19.0
NCT00041080	60-69 years	50.0
NCT00041080	70-79 years	32.0
NCT00041080	80-89 years	6.0
NCT00041119	<=18 years	0.0
NCT00041119	>=65 years	472.0
NCT00041119	between 18 and 65 years	3399.0
NCT00041392	<=18 years	0.0
NCT00041392	>=65 years	237.0
NCT00041392	between 18 and 65 years	152.0
NCT00041938	<=18 years	0.0
NCT00041938	>=65 years	867.0
NCT00041938	between 18 and 65 years	1438.0
NCT00042224	<=18 years	0.0
NCT00042224	>=65 years	0.0
NCT00042224	between 18 and 65 years	39.0
NCT00042991	<=18 years	68.0
NCT00042991	>=65 years	0.0
NCT00042991	between 18 and 65 years	1.0
NCT00043108	<=18 years	0.0
NCT00043108	>=65 years	9.0
NCT00043108	between 18 and 65 years	10.0
NCT00043550	<=18 years	0.0
NCT00043550	>=65 years	0.0
NCT00043550	between 18 and 65 years	156.0
NCT00043979	<=18 years	31.0
NCT00043979	>=65 years	0.0
NCT00043979	between 18 and 65 years	29.0
NCT00044512	<=18 years	0.0
NCT00044512	>=65 years	53.0
NCT00044512	between 18 and 65 years	84.0
NCT00044655	<=18 years	0.0
NCT00044655	>=65 years	11.0
NCT00044655	between 18 and 65 years	208.0
NCT00045435	<=18 years	0.0
NCT00045435	>=65 years	7.0
NCT00045435	between 18 and 65 years	10.0
NCT00045487	<=18 years	0.0
NCT00045487	>=65 years	26.0
NCT00045487	between 18 and 65 years	15.0
NCT00045942	<=18 years	0.0
NCT00045942	>=65 years	86.0
NCT00045942	between 18 and 65 years	56.0
NCT00046891	age < 50	109.0
NCT00046891	age >= 50	117.0
NCT00047060	<=18 years	0.0
NCT00047060	>=65 years	0.0
NCT00047060	between 18 and 65 years	5.0
NCT00047385	<=18 years	0.0
NCT00047385	>=65 years	14220.0
NCT00047385	between 18 and 65 years	39234.0
NCT00047463	<=18 years	0.0
NCT00047463	>=65 years	0.0
NCT00047463	between 18 and 65 years	35.0
NCT00047619	number of subjects >=18 years	28.0
NCT00047879	<=18 years	0.0
NCT00047879	>=65 years	2.0
NCT00047879	between 18 and 65 years	5.0
NCT00048347	<=18 years	1.0
NCT00048347	>=65 years	1.0
NCT00048347	between 18 and 65 years	16.0
NCT00048724	<=50 years	262.0
NCT00048724	>50 years	364.0
NCT00048737	<=18 years	0.0
NCT00048737	>=65 years	9.0
NCT00048737	between 18 and 65 years	61.0
NCT00049036	<=18 years	0.0
NCT00049036	>=65 years	1.0
NCT00049036	between 18 and 65 years	105.0
NCT00049543	<=18 years	0.0
NCT00049543	>=65 years	278.0
NCT00049543	between 18 and 65 years	225.0
NCT00049673	age < 60	205.0
NCT00049673	age > or = 60	127.0
NCT00049842	<=50 years	293.0
NCT00049842	>50 years	247.0
NCT00050089	31-40 years	54.0
NCT00050089	41-50 years	142.0
NCT00050089	51-60 years	120.0
NCT00050089	>60 years	23.0
NCT00050622	<=18 years	154.0
NCT00050622	>=65 years	0.0
NCT00050622	between 18 and 65 years	0.0
NCT00050960	<=18 years	0.0
NCT00050960	>=65 years	272.0
NCT00050960	between 18 and 65 years	340.0
NCT00050986	<=18 years	0.0
NCT00050986	>=65 years	3.0
NCT00050986	between 18 and 65 years	52.0
NCT00051025	<=18 years	0.0
NCT00051025	>=65 years	4.0
NCT00051025	between 18 and 65 years	5.0
NCT00051168	<=18 years	0.0
NCT00051168	>=65 years	265.0
NCT00051168	between 18 and 65 years	237.0
NCT00051311	<=18 years	0.0
NCT00051311	>=65 years	10.0
NCT00051311	between 18 and 65 years	52.0
NCT00051363	<=18 years	1.0
NCT00051363	>=65 years	174.0
NCT00051363	between 18 and 65 years	923.0
NCT00051558	35 <= age < 50 years	90.0
NCT00051558	50 <= age < 65 years	179.0
NCT00051558	age < 35 years	32.0
NCT00051558	age >= 65 years	127.0
NCT00052078	<=18 years	488.0
NCT00052078	>=65 years	0.0
NCT00052078	between 18 and 65 years	0.0
NCT00052429	<=18 years	0.0
NCT00052429	>=65 years	3.0
NCT00052429	between 18 and 65 years	22.0
NCT00053365	30-39 years	1.0
NCT00053365	40-49 years	10.0
NCT00053365	50-59 years	17.0
NCT00053365	60-69 years	21.0
NCT00053365	70-79 years	4.0
NCT00053365	80-89 years	2.0
NCT00053417	<=18 years	0.0
NCT00053417	>=65 years	7.0
NCT00053417	between 18 and 65 years	199.0
NCT00053482	<=18 years	0.0
NCT00053482	>=65 years	0.0
NCT00053482	between 18 and 65 years	357.0
NCT00053495	<=18 years	0.0
NCT00053495	>=65 years	0.0
NCT00053495	between 18 and 65 years	353.0
NCT00053703	<=18 years	114.0
NCT00053703	>=65 years	0.0
NCT00053703	between 18 and 65 years	2.0
NCT00053989	<=18 years	1.0
NCT00053989	>=65 years	3.0
NCT00053989	between 18 and 65 years	37.0
NCT00054132	<=18 years	0.0
NCT00054132	>=65 years	4.0
NCT00054132	between 18 and 65 years	34.0
NCT00054327	<=18 years	13.0
NCT00054327	>=65 years	0.0
NCT00054327	between 18 and 65 years	21.0
NCT00054353	<=18 years	0.0
NCT00054353	>=65 years	3.0
NCT00054353	between 18 and 65 years	13.0
NCT00054665	<=18 years	0.0
NCT00054665	>=65 years	14.0
NCT00054665	between 18 and 65 years	36.0
NCT00054756	<=18 years	2.0
NCT00054756	>=65 years	2.0
NCT00054756	between 18 and 65 years	92.0
NCT00055237	<=18 years	0.0
NCT00055237	>=65 years	2.0
NCT00055237	between 18 and 65 years	17.0
NCT00055497	<=18 years	1.0
NCT00055497	>=65 years	9.0
NCT00055497	between 18 and 65 years	249.0
NCT00056160	<=18 years	0.0
NCT00056160	>=65 years	156.0
NCT00056160	between 18 and 65 years	197.0
NCT00056316	<=18 years	0.0
NCT00056316	>=65 years	25.0
NCT00056316	between 18 and 65 years	49.0
NCT00056472	<=18 years	1.0
NCT00056472	>=65 years	108.0
NCT00056472	between 18 and 65 years	150.0
NCT00056498	<=18 years	0.0
NCT00056498	>=65 years	0.0
NCT00056498	between 18 and 65 years	65.0
NCT00056550	<=18 years	0.0
NCT00056550	>=65 years	1.0
NCT00056550	between 18 and 65 years	13.0
NCT00056563	<=18 years	0.0
NCT00056563	>=65 years	68.0
NCT00056563	between 18 and 65 years	187.0
NCT00057577	<=18 years	0.0
NCT00057577	>=65 years	24.0
NCT00057577	between 18 and 65 years	428.0
NCT00057681	<=18 years	379.0
NCT00057681	>=65 years	0.0
NCT00057681	between 18 and 65 years	0.0
NCT00057811	<=18 years	93.0
NCT00057811	>=65 years	0.0
NCT00057811	between 18 and 65 years	4.0
NCT00059215	>18 and <= 65 years	661.0
NCT00059215	<=18 years	0.0
NCT00059215	> 65 years	243.0
NCT00059332	60-75 years of age	562.0
NCT00059332	<60 years of age	481.0
NCT00059332	>75 years of age	657.0
NCT00059475	<=18 years	1.0
NCT00059475	>=65 years	11.0
NCT00059475	between 18 and 65 years	126.0
NCT00059839	<=18 years	124.0
NCT00059839	>=65 years	0.0
NCT00059839	between 18 and 65 years	5.0
NCT00060424	<=18 years	0.0
NCT00060424	>=65 years	1.0
NCT00060424	between 18 and 65 years	20.0
NCT00060528	<=18 years	0.0
NCT00060528	>=65 years	16.0
NCT00060528	between 18 and 65 years	16.0
NCT00060840	<=18 years	0.0
NCT00060840	>=65 years	0.0
NCT00060840	between 18 and 65 years	150.0
NCT00061048	<=18 years	0.0
NCT00061048	>=65 years	4.0
NCT00061048	between 18 and 65 years	25.0
NCT00061373	<=18 years	0.0
NCT00061373	>=65 years	11.0
NCT00061373	between 18 and 65 years	7.0
NCT00061633	<=18 years	0.0
NCT00061633	>=65 years	9.0
NCT00061633	between 18 and 65 years	158.0
NCT00062010	<=18 years	0.0
NCT00062010	>=65 years	8.0
NCT00062010	between 18 and 65 years	26.0
NCT00062166	<=18 years	0.0
NCT00062166	>=65 years	13.0
NCT00062166	between 18 and 65 years	327.0
NCT00062374	<=18 years	0.0
NCT00062374	>=65 years	20.0
NCT00062374	between 18 and 65 years	35.0
NCT00062647	<=18 years	0.0
NCT00062647	>=65 years	22.0
NCT00062647	between 18 and 65 years	36.0
NCT00062738	<=18 years	0.0
NCT00062738	>=65 years	21.0
NCT00062738	between 18 and 65 years	31.0
NCT00063999	40 -49 years	137.0
NCT00063999	<40 years	37.0
NCT00063999	50-59 years	411.0
