pmid	black	white	nctid	ratio	repetition
29211671	123.0	541.0	NCT00790335	0.22735674676524953	2
23537968	123.0	541.0	NCT00790335	0.22735674676524953	2
20047905	123.0	541.0	NCT00790335	0.22735674676524953	2
27315514	9.0	166.0	NCT00790868	0.05421686746987952	2
25873729	8.0	2347.0	NCT00790907	0.0034086067319982955	2
21146654	8.0	2347.0	NCT00790907	0.0034086067319982955	2
20805623	8.0	2347.0	NCT00790907	0.0034086067319982955	2
27802155	42.0	1981.0	NCT00790933	0.02120141342756184	2
21149742	156.0	276.0	NCT00793455	0.5652173913043478	4
31128268	3.0	39.0	NCT00794040	0.07692307692307693	2
27578134	3.0	49.0	NCT00794664	0.061224489795918366	2
23152839	3.0	49.0	NCT00794664	0.061224489795918366	2
34228102	3.0	27.0	NCT00799266	0.1111111111111111	2
29112461	6.0	40.0	NCT00799383	0.15	2
32785689	41.0	698.0	NCT00799617	0.05873925501432665	2
31784747	41.0	698.0	NCT00799617	0.05873925501432665	2
29253154	41.0	698.0	NCT00799617	0.05873925501432665	2
28241356	41.0	698.0	NCT00799617	0.05873925501432665	2
28241355	41.0	698.0	NCT00799617	0.05873925501432665	2
28241237	41.0	698.0	NCT00799617	0.05873925501432665	2
28241231	41.0	698.0	NCT00799617	0.05873925501432665	2
27355400	41.0	698.0	NCT00799617	0.05873925501432665	2
26886521	41.0	698.0	NCT00799617	0.05873925501432665	2
26554661	41.0	698.0	NCT00799617	0.05873925501432665	2
25548978	41.0	698.0	NCT00799617	0.05873925501432665	2
32375553	366.0	12410.0	NCT00799903	0.029492344883158744	2
30897999	366.0	12410.0	NCT00799903	0.029492344883158744	2
29066452	366.0	12410.0	NCT00799903	0.029492344883158744	2
28960596	366.0	12410.0	NCT00799903	0.029492344883158744	2
28912210	366.0	12410.0	NCT00799903	0.029492344883158744	2
28797349	366.0	12410.0	NCT00799903	0.029492344883158744	2
27811204	366.0	12410.0	NCT00799903	0.029492344883158744	2
27329448	366.0	12410.0	NCT00799903	0.029492344883158744	2
24678955	366.0	12410.0	NCT00799903	0.029492344883158744	2
22496275	366.0	12410.0	NCT00799903	0.029492344883158744	2
23904292	9.0	396.0	NCT00802464	0.022727272727272728	2
26377300	0.0	28.0	NCT00802737	0.0	1
26730716	32.0	27.0	NCT00802919	1.1851851851851851	8
22088518	0.0	0.0	NCT00803361	0.0	1
20936975	0.0	0.0	NCT00803595	0.0	1
24694337	19.0	41.0	NCT00805207	0.4634146341463415	2
24203065	19.0	41.0	NCT00805207	0.4634146341463415	2
33493551	0.0	689.0	NCT00805389	0.0	1
30850240	0.0	689.0	NCT00805389	0.0	1
27236001	0.0	689.0	NCT00805389	0.0	1
31337325	4.0	0.0	NCT00805532	4.0	8
25385669	1.0	81.0	NCT00805935	0.012345679012345678	2
33573741	50.0	237.0	NCT00806988	0.2109704641350211	2
27777294	50.0	237.0	NCT00806988	0.2109704641350211	2
27040451	50.0	237.0	NCT00806988	0.2109704641350211	2
25405390	50.0	237.0	NCT00806988	0.2109704641350211	2
33573741	44.0	202.0	NCT00807040	0.21782178217821782	2
30785252	44.0	202.0	NCT00807040	0.21782178217821782	2
27777294	44.0	202.0	NCT00807040	0.21782178217821782	2
26550689	44.0	202.0	NCT00807040	0.21782178217821782	2
25500293	44.0	202.0	NCT00807040	0.21782178217821782	2
24245543	44.0	202.0	NCT00807040	0.21782178217821782	2
22122960	4.0	51.0	NCT00808470	0.0784313725490196	2
24001080	453.0	348.0	NCT00809146	1.3017241379310345	8
22335736	453.0	348.0	NCT00809146	1.3017241379310345	8
21967361	453.0	348.0	NCT00809146	1.3017241379310345	8
25291977	263.0	826.0	NCT00809445	0.31840193704600483	2
29286595	25.0	62.0	NCT00809835	0.4032258064516129	2
22722513	4.0	562.0	NCT00810069	0.0071174377224199285	2
25402618	8.0	47.0	NCT00810342	0.1702127659574468	2
22533900	8.0	47.0	NCT00810342	0.1702127659574468	2
27457511	6.0	272.0	NCT00810693	0.022058823529411766	2
26135803	6.0	272.0	NCT00810693	0.022058823529411766	2
23883378	6.0	272.0	NCT00810693	0.022058823529411766	2
31424491	23.0	69.0	NCT00810888	0.3333333333333333	2
26797215	0.0	0.0	NCT00811954	0.0	1
25904376	0.0	0.0	NCT00811954	0.0	1
25767256	0.0	0.0	NCT00811954	0.0	1
25285539	0.0	0.0	NCT00811954	0.0	1
25158767	16.0	881.0	NCT00812097	0.018161180476730987	2
28905189	1.0	89.0	NCT00813150	0.011235955056179775	2
23855816	19.0	191.0	NCT00813488	0.09947643979057591	2
28039317	1.0	401.0	NCT00813709	0.0024937655860349127	2
26198842	4.0	12.0	NCT00814255	0.3333333333333333	2
21310077	4.0	12.0	NCT00814255	0.3333333333333333	2
19932542	4.0	12.0	NCT00814255	0.3333333333333333	2
25607554	54.0	501.0	NCT00817063	0.10778443113772455	2
33859155	70.0	237.0	NCT00817206	0.29535864978902954	2
27130202	44.0	174.0	NCT00818454	0.25287356321839083	2
22939358	84.0	517.0	NCT00818883	0.16247582205029013	2
24169807	17.0	107.0	NCT00819091	0.1588785046728972	2
22939034	17.0	107.0	NCT00819091	0.1588785046728972	2
22936289	56.0	155.0	NCT00819182	0.36129032258064514	2
31515083	15.0	258.0	NCT00819780	0.05813953488372093	2
30013091	15.0	258.0	NCT00819780	0.05813953488372093	2
29080924	15.0	258.0	NCT00819780	0.05813953488372093	2
28424871	15.0	258.0	NCT00819780	0.05813953488372093	2
24687833	15.0	258.0	NCT00819780	0.05813953488372093	2
24156640	14.0	693.0	NCT00820027	0.020202020202020204	2
25605838	2.0	526.0	NCT00820222	0.0038022813688212928	2
28040660	3.0	308.0	NCT00820248	0.00974025974025974	2
32521100	52.0	0.0	NCT00821678	52.0	8
25409287	52.0	0.0	NCT00821678	52.0	8
29217001	39.0	1294.0	NCT00823212	0.030139103554868624	2
21470815	39.0	1294.0	NCT00823212	0.030139103554868624	2
25103870	8.0	311.0	NCT00824265	0.02572347266881029	2
21082298	13.0	192.0	NCT00826280	0.06770833333333333	2
26299520	8.0	296.0	NCT00827242	0.02702702702702703	2
21871706	8.0	296.0	NCT00827242	0.02702702702702703	2
24156617	0.0	0.0	NCT00827632	0.0	1
20664386	0.0	0.0	NCT00827632	0.0	1
25490004	12.0	168.0	NCT00828139	0.07142857142857142	2
25002722	12.0	168.0	NCT00828139	0.07142857142857142	2
29617381	9.0	76.0	NCT00828984	0.11842105263157894	2
32985114	28.0	150.0	NCT00829283	0.18666666666666668	2
22549879	36.0	193.0	NCT00829829	0.18652849740932642	2
22549370	26.0	146.0	NCT00832767	0.1780821917808219	2
34350976	18.0	224.0	NCT00833248	0.08035714285714286	2
23257248	18.0	224.0	NCT00833248	0.08035714285714286	2
24894963	17.0	28.0	NCT00833443	0.6071428571428571	4
31484712	0.0	70.0	NCT00833690	0.0	1
24366103	0.0	70.0	NCT00833690	0.0	1
24421329	34.0	213.0	NCT00833833	0.1596244131455399	2
23471268	0.0	40.0	NCT00833989	0.0	1
30638797	0.0	0.0	NCT00834106	0.0	1
30122646	0.0	0.0	NCT00834106	0.0	1
22790642	0.0	213.0	NCT00836693	0.0	1
21707928	0.0	213.0	NCT00836693	0.0	1
26298797	1.0	8.0	NCT00836719	0.125	2
25168268	13.0	115.0	NCT00837811	0.11304347826086956	2
25393772	1.0	4.0	NCT00838331	0.25	2
28683300	150.0	723.0	NCT00838903	0.2074688796680498	2
28683300	194.0	500.0	NCT00838916	0.388	2
25208756	194.0	500.0	NCT00838916	0.388	2
24918790	194.0	500.0	NCT00838916	0.388	2
31122856	5.0	6096.0	NCT00839254	0.0008202099737532808	2
30145098	5.0	6096.0	NCT00839254	0.0008202099737532808	2
29503110	5.0	6096.0	NCT00839254	0.0008202099737532808	2
27125273	5.0	6096.0	NCT00839254	0.0008202099737532808	2
26284652	5.0	6096.0	NCT00839254	0.0008202099737532808	2
25127244	5.0	6096.0	NCT00839254	0.0008202099737532808	2
24287186	5.0	6096.0	NCT00839254	0.0008202099737532808	2
23158882	5.0	6096.0	NCT00839254	0.0008202099737532808	2
28202004	5.0	140.0	NCT00839332	0.03571428571428571	2
28683300	68.0	456.0	NCT00839527	0.14912280701754385	2
24918790	68.0	456.0	NCT00839527	0.14912280701754385	2
34091867	11.0	52.0	NCT00839852	0.21153846153846154	2
22585767	34.5	397.0	NCT00843024	0.08690176322418136	2
26511489	1.0	50.0	NCT00843167	0.02	2
26329135	1.0	50.0	NCT00843167	0.02	2
23257314	15.0	115.0	NCT00843518	0.13043478260869565	2
22918156	8.0	39.0	NCT00843713	0.20512820512820512	2
27769210	32.0	753.0	NCT00844649	0.04249667994687915	2
27085323	32.0	753.0	NCT00844649	0.04249667994687915	2
26802153	32.0	753.0	NCT00844649	0.04249667994687915	2
26655559	32.0	753.0	NCT00844649	0.04249667994687915	2
24131140	32.0	753.0	NCT00844649	0.04249667994687915	2
25721187	34.0	180.0	NCT00844857	0.18888888888888888	2
23979731	76.0	45.0	NCT00845650	1.6888888888888889	8
29334491	290.0	680.0	NCT00846365	0.4264705882352941	2
22325974	0.0	87.5	NCT00847132	0.0	1
22210240	0.0	87.5	NCT00847132	0.0	1
21386067	0.0	87.5	NCT00847132	0.0	1
29299592	0.0	912.0	NCT00847912	0.0	1
28877312	0.0	912.0	NCT00847912	0.0	1
25950503	0.0	912.0	NCT00847912	0.0	1
28683300	38.0	240.0	NCT00849017	0.15833333333333333	2
26577795	38.0	240.0	NCT00849017	0.15833333333333333	2
24918790	38.0	240.0	NCT00849017	0.15833333333333333	2
28683300	39.0	210.0	NCT00849056	0.18571428571428572	2
25978741	93.0	244.0	NCT00849693	0.38114754098360654	2
24815533	93.0	244.0	NCT00849693	0.38114754098360654	2
25978741	39.0	262.0	NCT00849901	0.14885496183206107	2
24813026	39.0	262.0	NCT00849901	0.14885496183206107	2
27091810	1.0	187.0	NCT00851084	0.0053475935828877	2
29590326	0.0	0.0	NCT00851786	0.0	1
32107532	0.0	0.0	NCT00851799	0.0	1
26797215	0.0	0.0	NCT00851799	0.0	1
26372383	0.0	0.0	NCT00851799	0.0	1
25904376	0.0	0.0	NCT00851799	0.0	1
31969269	46.0	113.5	NCT00852202	0.4052863436123348	2
31628698	46.0	113.5	NCT00852202	0.4052863436123348	2
25396674	26.0	175.5	NCT00852540	0.14814814814814814	2
22863328	48.0	164.0	NCT00852995	0.2926829268292683	2
27041406	1.0	22.0	NCT00853047	0.045454545454545456	2
25012985	1.0	22.0	NCT00853047	0.045454545454545456	2
27956565	17.0	115.0	NCT00853580	0.14782608695652175	2
30045066	36.0	186.0	NCT00854100	0.1935483870967742	2
23815103	82.0	386.0	NCT00854360	0.21243523316062177	2
26894924	0.0	180.0	NCT00855166	0.0	1
23906445	0.0	180.0	NCT00855166	0.0	1
22651373	0.0	180.0	NCT00855166	0.0	1
28011757	8.0	185.0	NCT00855465	0.043243243243243246	2
23883377	8.0	185.0	NCT00855465	0.043243243243243246	2
26299520	23.0	565.0	NCT00855582	0.04070796460176991	2
23375025	41.0	168.0	NCT00855920	0.24404761904761904	2
25028379	272.0	868.0	NCT00856206	0.31336405529953915	2
29596853	10.0	21.0	NCT00856609	0.47619047619047616	2
22584132	56.0	923.0	NCT00856986	0.06067172264355363	2
24387157	16.0	228.0	NCT00857766	0.07017543859649122	2
26894924	32.0	516.0	NCT00859898	0.06201550387596899	2
21983154	376.0	1374.0	NCT00860067	0.27365356622998543	2
25622198	63.0	82.0	NCT00861146	0.7682926829268293	4
23681501	18.0	104.0	NCT00862459	0.17307692307692307	2
22484721	141.0	831.0	NCT00862641	0.16967509025270758	2
21714645	2.0	19.0	NCT00862849	0.10526315789473684	2
21768544	0.0	20.0	NCT00863265	0.0	1
27457511	4.0	242.0	NCT00863681	0.01652892561983471	2
27067479	4.0	242.0	NCT00863681	0.01652892561983471	2
26135803	4.0	242.0	NCT00863681	0.01652892561983471	2
25614164	4.0	242.0	NCT00863681	0.01652892561983471	2
23883378	4.0	242.0	NCT00863681	0.01652892561983471	2
26847437	685.0	0.0	NCT00864383	685.0	8
25196020	685.0	0.0	NCT00864383	685.0	8
24184053	56.0	134.0	NCT00865046	0.417910447761194	2
31708182	15459.0	0.0	NCT00866619	15459.0	8
31012786	15459.0	0.0	NCT00866619	15459.0	8
29179625	15459.0	0.0	NCT00866619	15459.0	8
26702637	15459.0	0.0	NCT00866619	15459.0	8
25913272	15459.0	0.0	NCT00866619	15459.0	8
25072396	15459.0	0.0	NCT00866619	15459.0	8
24565019	15459.0	0.0	NCT00866619	15459.0	8
23136909	15459.0	0.0	NCT00866619	15459.0	8
22007715	15459.0	0.0	NCT00866619	15459.0	8
21816030	15459.0	0.0	NCT00866619	15459.0	8
21816029	15459.0	0.0	NCT00866619	15459.0	8
31519320	3.0	726.0	NCT00866697	0.004132231404958678	2
29267856	3.0	726.0	NCT00866697	0.004132231404958678	2
27769273	3.0	726.0	NCT00866697	0.004132231404958678	2
26588236	3.0	726.0	NCT00866697	0.004132231404958678	2
25434635	3.0	726.0	NCT00866697	0.004132231404958678	2
25225436	3.0	726.0	NCT00866697	0.004132231404958678	2
29450890	22.0	147.0	NCT00866775	0.14965986394557823	2
23950186	0.0	73.0	NCT00869349	0.0	1
21755537	0.0	24.0	NCT00869791	0.0	1
29788075	11.0	22.0	NCT00870363	0.5	4
28968888	11.0	22.0	NCT00870363	0.5	4
22327497	1.0	294.0	NCT00871000	0.003401360544217687	2
22064267	50.0	216.0	NCT00871117	0.23148148148148148	2
23348809	9.0	494.0	NCT00871338	0.018218623481781375	2
26681715	15.0	41.0	NCT00871572	0.36585365853658536	2
29554849	151.0	124.0	NCT00871715	1.217741935483871	8
28434819	151.0	124.0	NCT00871715	1.217741935483871	8
26864411	151.0	124.0	NCT00871715	1.217741935483871	8
23311856	151.0	124.0	NCT00871715	1.217741935483871	8
28419486	22.0	104.0	NCT00873093	0.21153846153846154	2
28303530	2.0	85.0	NCT00874848	0.023529411764705882	2
27575546	0.0	100.0	NCT00875420	0.0	1
28771673	0.0	241.0	NCT00875667	0.0	1
26899778	0.0	241.0	NCT00875667	0.0	1
28399902	38.0	311.0	NCT00876395	0.12218649517684887	2
26092818	38.0	311.0	NCT00876395	0.12218649517684887	2
31140297	74.0	2300.0	NCT00878709	0.03217391304347826	2
30867034	74.0	2300.0	NCT00878709	0.03217391304347826	2
30813966	74.0	2300.0	NCT00878709	0.03217391304347826	2
30689703	74.0	2300.0	NCT00878709	0.03217391304347826	2
29146401	74.0	2300.0	NCT00878709	0.03217391304347826	2
26874901	74.0	2300.0	NCT00878709	0.03217391304347826	2
31391011	4.0	20.0	NCT00878995	0.2	2
24043745	4.0	241.0	NCT00879333	0.016597510373443983	2
24497661	6.0	32.0	NCT00881647	0.1875	2
22459549	1.0	387.0	NCT00883051	0.002583979328165375	2
19701033	0.0	123.0	NCT00883103	0.0	1
34350976	0.0	179.0	NCT00884273	0.0	1
24464974	0.0	324.0	NCT00885365	0.0	1
24565221	11.0	144.0	NCT00885378	0.0763888888888889	2
33170934	2.0	171.0	NCT00887068	0.011695906432748537	2
21724197	0.0	242.0	NCT00888940	0.0	1
26125448	2.0	81.0	NCT00890825	0.024691358024691357	2
23200175	2.0	81.0	NCT00890825	0.024691358024691357	2
34161616	0.0	39.0	NCT00891202	0.0	1
28762527	0.0	39.0	NCT00891202	0.0	1
25688781	0.0	39.0	NCT00891202	0.0	1
19597368	2.0	81.0	NCT00891293	0.024691358024691357	2
27608819	39.0	41.0	NCT00891319	0.9512195121951219	4
23425607	0.0	4.0	NCT00892775	0.0	1
25317722	101.0	202.0	NCT00893763	0.5	4
29165623	95.0	102.0	NCT00894543	0.9313725490196079	4
26241433	95.0	102.0	NCT00894543	0.9313725490196079	4
23760428	95.0	102.0	NCT00894543	0.9313725490196079	4
23031421	95.0	102.0	NCT00894543	0.9313725490196079	4
22480818	95.0	102.0	NCT00894543	0.9313725490196079	4
22353950	95.0	102.0	NCT00894543	0.9313725490196079	4
21245182	95.0	102.0	NCT00894543	0.9313725490196079	4
25409596	28.0	28.0	NCT00896038	1.0	8
24607003	0.0	43.0	NCT00896064	0.0	1
29694685	3.0	362.0	NCT00896532	0.008287292817679558	2
27487526	3.0	362.0	NCT00896532	0.008287292817679558	2
24382002	3.0	362.0	NCT00896532	0.008287292817679558	2
23549864	4.0	20.0	NCT00897390	0.2	2
26435889	50.0	95.0	NCT00902330	0.5263157894736842	4
24247275	29.0	170.0	NCT00903032	0.17058823529411765	2
22995323	2.0	143.0	NCT00903201	0.013986013986013986	2
31097163	27.0	228.0	NCT00903370	0.11842105263157894	2
25853744	27.0	228.0	NCT00903370	0.11842105263157894	2
20156032	3.0	175.0	NCT00903409	0.017142857142857144	2
20624802	13.0	177.0	NCT00907088	0.07344632768361582	2
24636395	1.0	24.0	NCT00907153	0.041666666666666664	2
26688484	3.0	67.0	NCT00908037	0.04477611940298507	2
27097977	0.0	158.0	NCT00909532	0.0	1
26135562	0.0	158.0	NCT00909532	0.0	1
22047557	0.0	158.0	NCT00909532	0.0	1
23590265	0.0	45.0	NCT00909727	0.0	1
28011247	88.0	746.0	NCT00909779	0.11796246648793565	2
25451347	88.0	746.0	NCT00909779	0.11796246648793565	2
22506940	56.0	0.0	NCT00910208	56.0	8
27067478	8.0	165.0	NCT00910429	0.048484848484848485	2
23883377	8.0	165.0	NCT00910429	0.048484848484848485	2
22936658	0.0	37.0	NCT00910858	0.0	1
24930728	13.0	485.0	NCT00910962	0.026804123711340205	2
23137494	13.0	485.0	NCT00910962	0.026804123711340205	2
34238436	77.0	2025.0	NCT00911508	0.03802469135802469	2
33848199	77.0	2025.0	NCT00911508	0.03802469135802469	2
32586583	77.0	2025.0	NCT00911508	0.03802469135802469	2
30874766	77.0	2025.0	NCT00911508	0.03802469135802469	2
30874716	77.0	2025.0	NCT00911508	0.03802469135802469	2
22699288	39.0	64.0	NCT00911625	0.609375	4
26556097	3.0	87.0	NCT00912093	0.034482758620689655	2
25198193	3.0	87.0	NCT00912093	0.034482758620689655	2
23167682	3.0	87.0	NCT00912093	0.034482758620689655	2
22123383	3.0	87.0	NCT00912093	0.034482758620689655	2
24101420	40.0	0.0	NCT00912782	40.0	8
22237061	40.0	0.0	NCT00912782	40.0	8
33874971	0.0	37.0	NCT00912925	0.0	1
24246044	100.0	1183.0	NCT00912964	0.08453085376162299	2
23769122	100.0	1183.0	NCT00912964	0.08453085376162299	2
30591028	6.0	108.0	NCT00913835	0.05555555555555555	2
33675226	50.0	429.0	NCT00914732	0.11655011655011654	2
26143613	50.0	429.0	NCT00914732	0.11655011655011654	2
32224318	10.0	135.0	NCT00915005	0.07407407407407407	2
29293386	10.0	135.0	NCT00915005	0.07407407407407407	2
22136324	4.0	17.0	NCT00916357	0.23529411764705882	2
30557792	6.0	272.0	NCT00917384	0.022058823529411766	2
28950290	6.0	272.0	NCT00917384	0.022058823529411766	2
28716815	6.0	272.0	NCT00917384	0.022058823529411766	2
24094768	6.0	272.0	NCT00917384	0.022058823529411766	2
24969516	0.0	32.0	NCT00917553	0.0	1
30926986	11.0	1020.0	NCT00917735	0.010784313725490196	2
28747487	11.0	1020.0	NCT00917735	0.010784313725490196	2
27806972	11.0	1020.0	NCT00917735	0.010784313725490196	2
26701796	11.0	1020.0	NCT00917735	0.010784313725490196	2
26581683	11.0	1020.0	NCT00917735	0.010784313725490196	2
31776637	0.0	849.0	NCT00919711	0.0	1
25237196	6.0	100.0	NCT00920218	0.06	2
31573608	0.0	0.0	NCT00921557	0.0	1
24840045	45.0	247.0	NCT00922636	0.18218623481781376	2
25879524	1.0	2685.0	NCT00923091	0.00037243947858472997	2
24760656	1.0	2685.0	NCT00923091	0.00037243947858472997	2
22909147	1.0	2685.0	NCT00923091	0.00037243947858472997	2
30937600	60.0	550.0	NCT00924651	0.10909090909090909	2
29243164	60.0	550.0	NCT00924651	0.10909090909090909	2
30558645	0.0	84.0	NCT00925002	0.0	1
28758793	0.0	84.0	NCT00925002	0.0	1
27494299	0.0	84.0	NCT00925002	0.0	1
24506498	1.0	329.0	NCT00925587	0.00303951367781155	2
26964731	3.0	90.0	NCT00926380	0.03333333333333333	2
26144908	3.0	90.0	NCT00926380	0.03333333333333333	2
23683600	3.0	90.0	NCT00926380	0.03333333333333333	2
25786741	48.0	192.0	NCT00926588	0.25	2
25138978	48.0	192.0	NCT00926588	0.25	2
25027139	48.0	192.0	NCT00926588	0.25	2
23228858	48.0	192.0	NCT00926588	0.25	2
24425420	0.0	69.0	NCT00926783	0.0	1
26841258	2.0	67.0	NCT00927186	0.029850746268656716	2
24821270	302.0	19.0	NCT00927264	15.894736842105264	8
